,Author,Quotes,Likes,Tags
18,Charles Bukowski,“Some people never go crazy. What truly horrible lives they must lead.”,21676,['humor']
19,Terry Pratchett,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",20914,"['humor', 'open-mind', 'thinking']"
20,Bill Watterson,“Reality continues to ruin my life.”,20550,"['calvin-and-hobbes', 'humor', 'life']"
21,George Carlin,“The reason I talk to myself is because I’m the only one whose answers I accept.”,19408,"['humor', 'insanity', 'lies', 'lying', 'self-indulgence', 'truth']"
22,Benjamin Franklin Wade,“Go to heaven for the climate and hell for the company.”,19317,"['humor', 'misattributed-mark-twain', 'philosophy', 'theology']"
23,Charles M. Schulz,“I love mankind ... it's people I can't stand!!”,18490,"['humor', 'mankind', 'people']"
24,W.C. Fields,“I am free of all prejudice. I hate everyone equally. ”,18416,"['humor', 'sinister']"
25,Suzanne Collins,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",17631,['humor']
26,Jane Austen,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",17320,"['humor', 'love', 'romantic', 'women']"
27,Lewis Carroll,"“It’s no use going back to yesterday, because I was a different person then.”",16932,"['alice', 'humor', 'inspirational', 'philosophy-of-life', 'psychological', 'yesterday']"
28,Charles J. Sykes,“Be nice to nerds. You may end up working for them. We all could.”,15603,"['humor', 'misattributed-to-bill-gates', 'nerd', 'nerds', 'work']"
29,J.K. Rowling,"“Do you remember me telling you we are practicing non-verbal spells, Potter?""",15332,"['humor', 'rebellion', 'sarcasm']"
30,Cassandra Clare,"“Jesus!"" Luke exclaimed.",13949,"['humor', 'jace-wayland', 'simon-lewis']"
31,Markus Herz,“Be careful about reading health books. Some fine day you'll die of a misprint.”,13752,"['books', 'health', 'humor', 'misattributed-mark-twain', 'misprints']"
32,Terry Johnson,“Have you ever noticed how ‘What the hell’ is always the right decision to make?”,13681,"['humor', 'misattributed-to-marilyn-monroe', 'philosophy']"
33,C.E.M. Joad,“Creativity is knowing how to hide your sources”,12970,"['creativity', 'humor', 'misattributed-to-einstein', 'paraphrased']"
34,Lemony Snicket,"“Fate is like a strange, unpopular restaurant filled with odd little waiters who bring you things you never asked for and don't always like.”",12963,"['fate', 'humor', 'simile']"
35,Rita Mae Brown,"“The statistics on sanity are that one out of every four people is suffering from a mental illness. Look at your 3 best friends. If they're ok, then it's you.”",12619,"['humor', 'insanity']"
36,Cassandra Clare,"“I don't want to be a man,"" said Jace. ""I want to be an angst-ridden teenager who can't confront his own inner demons and takes it out verbally on other people instead.""",12516,"['clary-fray', 'demons', 'growing-up', 'humor', 'jace-wayland', 'luke', 'teenager']"
37,Terry Pratchett,"“Give a man a fire and he's warm for a day, but set fire to him and he's warm for the rest of his life.”",12481,"['humor', 'proverb']"
38,Chuck Palahniuk,"“All God does is watch us and kill us when we get boring. We must never, ever be boring.”",11458,"['god', 'humor', 'life']"
39,George V. Higgins,"“This life’s hard, but it’s harder if you’re stupid.”",11223,"['humor', 'life', 'misattributed-john-wayne']"
40,Douglas Adams,“I refuse to answer that question on the grounds that I don't know the answer”,11215,"['attributed-no-source', 'humor', 'misattributed-douglas-adams', 'wit']"
41,Albert Einstein,“Never memorize something that you can look up.”,10900,"['humor', 'science']"
42,J.K. Rowling,"“Is it true that you shouted at Professor Umbridge?""",10592,"['biscuit', 'humor', 'rebellion']"
43,J.K. Rowling,"“Mr. Moony presents his compliments to Professor Snape, and begs him to keep his abnormally large nose out of other people's business.",10570,"['harry-potter', 'humor', 'james-potter', 'remus-lupin', 'sirius-black', 'snape', 'wormtail']"
44,J.K. Rowling,“He can run faster than Severus Snape confronted with shampoo.”,10378,"['humor', 'shampoo']"
45,Groucho Marx,"“When you're in jail, a good friend will be trying to bail you out. A best friend will be in the cell next to you saying, 'Damn, that was fun'.”",10004,"['friends', 'humor', 'jail']"
46,Terry Pratchett,"“Some humans would do anything to see if it was possible to do it. If you put a large switch in some cave somewhere, with a sign on it saying 'End-of-the-World Switch. PLEASE DO NOT TOUCH', the paint wouldn't even have time to dry.”",9968,['humor']
47,Albert Einstein,“When you are courting a nice girl an hour seems like a second. When you sit on a red-hot cinder a second seems like an hour. That's relativity.”,9822,['humor']
48,Oscar Levant,“There's a fine line between genius and insanity. I have erased this line.”,9796,"['genius', 'humor', 'insanity']"
49,Thomas Szasz,"“Two wrongs don't make a right, but they make a good excuse.”",9668,"['humor', 'inspirational']"
50,J.K. Rowling,"“Death's got an Invisibility Cloak?"" Harry interrupted again.",9547,"['death', 'humor', 'sarcasm']"
51,Mark Twain,“Substitute 'damn' every time you're inclined to write 'very;' your editor will delete it and the writing will be just as it should be.”,9471,"['humor', 'writing']"
52,Chris Rock,"“You know the world is going crazy when the best rapper is a white guy, the best golfer is a black guy, the tallest guy in the NBA is Chinese, the Swiss hold the America's Cup, France is accusing the U.S. of arrogance, Germany doesn't want to go to war, and the three most powerful men in America are named ""Bush"", ""Dick"", and ""Colin."" Need I say more?”",9417,"['comedy', 'everyday-life', 'funny', 'humor', 'observational-comedy']"
53,Cassandra Clare,“It means 'Shadowhunters: Looking Better in Black Than the Widows of our Enemies Since 1234'.”,9388,"['humor', 'jace-wayland', 'sarcasm']"
54,Rick Riordan,"“Let us find the dam snack bar,"" Zoe said. ""We should eat while we can.""",9249,['humor']
55,E.B. White,"“If the world were merely seductive, that would be easy. If it were merely challenging, that would be no problem. But I arise in the morning torn between a desire to improve the world and a desire to enjoy the world. This makes it hard to plan the day.”",9073,"['activism', 'humor', 'life', 'pleasure']"
56,Mark Twain,"“Reader, suppose you were an idiot. And suppose you were a member of Congress. But I repeat myself.”",8944,"['humor', 'politics']"
57,Billy Sunday,“Going to church doesn’t make you a Christian any more than going to a garage makes you an automobile.”,8931,"['automobile', 'car', 'funny', 'humor', 'religious']"
58,Jane Austen,"“I do not want people to be very agreeable, as it saves me the trouble of liking them a great deal.”",8787,"['friends', 'humor', 'people']"
59,George Carlin,“The planet is fine. The people are fucked.”,8610,"['funny', 'humanity', 'humor']"
60,Cassandra Clare,"“Do you remember back at the hotel when you promised that if we lived, you’d get dressed up in a nurse’s outfit and give me a sponge bath?"" asked Jace.",8332,"['bath', 'clary-fray', 'humor', 'jace-wayland', 'simon-lewis']"
61,Laurence J. Peter,"“If a cluttered desk is a sign of a cluttered mind, of what, then, is an empty desk a sign?”",8140,"['human', 'humor', 'misattributed-einstein', 'philosophy', 'stupidity']"
62,Jerome K. Jerome,“I like work: it fascinates me. I can sit and look at it for hours.”,8087,"['humor', 'work']"
63,Cassandra Clare,"“Malachi scowled. ""I don't remember the Clave inviting you into the Glass City, Magnus Bane.""",7983,"['consul', 'humor', 'magnus-bane', 'sarcasm']"
64,Bertrand Russell,"“There are two motives for reading a book; one, that you enjoy it; the other, that you can boast about it.”",7837,"['books', 'humor']"
65,Stephen King,"“When his life was ruined, his family killed, his farm destroyed, Job knelt down on the ground and yelled up to the heavens, ""Why god? Why me?"" and the thundering voice of God answered, There's just something about you that pisses me off.”",7827,"['god', 'humor', 'religion']"
66,Laurie Halse Anderson,“THE FIRST TEN LIES THEY TELL YOU IN HIGH SCHOOL,7748,"['humor', 'school']"
67,Douglas Adams,"“There is a theory which states that if ever anyone discovers exactly what the Universe is for and why it is here, it will instantly disappear and be replaced by something even more bizarre and inexplicable.",7728,['humor']
68,Friedrich Nietzsche,"“It is hard enough to remember my opinions, without also remembering my reasons for them!”",7563,"['humor', 'philosophy']"
69,Mark Twain,"“I did not attend his funeral, but I sent a nice letter saying I approved of it.”",7480,"['classic-insult', 'funeral', 'funny', 'humor']"
70,Henry Ward Beecherr,“Where is human nature so weak as in the bookstore?”,7434,"['books', 'humor']"
71,Cassandra Clare,"“Well, I’m not kissing the mundane,"" said Jace. ""I’d rather stay down here and rot.""",7407,"['humor', 'jace-wayland', 'simon-lewis']"
72,W.C. Fields,"“If at first you don't succeed, try, try again. Then quit. No use being a damn fool about it.”",7343,"['humor', 'success']"
73,Isaac Asimov,“Never let your sense of morals prevent you from doing what is right.”,7178,"['humor', 'inspirational', 'philosophy', 'wisdom']"
74,John Green,"“What the hell is that?"" I laughed.",7104,"['funny', 'humor']"
75,Mae West,“I generally avoid temptation unless I can't resist it.”,7003,"['humor', 'temptation']"
76,Roald Dahl,"“So please, oh please, we beg, we pray,",6826,"['books', 'humor', 'television']"
77,Charles M. Schulz,“Happiness is a warm puppy.”,6754,"['animals', 'dogs', 'happiness', 'humor', 'puppies']"
78,maya angelou,“I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass.”,6734,"['humor', 'inspirational', 'life']"
79,Mark Twain,"“I was gratified to be able to answer promptly, and I did. I said I didn’t know.”",6714,"['humor', 'knowledge']"
80,Woody Allen,"“I don't know the question, but sex is definitely the answer.”",6537,"['humor', 'life', 'sex']"
81,Dr. Seuss,"“Fantasy is a necessary ingredient in living, it's a way of looking at life through the wrong end of a telescope.”",6536,"['fantasy', 'humor']"
82,George Carlin,"“Religion has actually convinced people that there's an invisible man living in the sky who watches everything you do, every minute of every day. And the invisible man has a special list of ten things he does not want you to do. And if you do any of these ten things, he has a special place, full of fire and smoke and burning and torture and anguish, where he will send you to live and suffer and burn and choke and scream and cry forever and ever 'til the end of time!",6451,"['atheism', 'humor', 'life', 'religion']"
83,Terry Pratchett,"“It is said that your life flashes before your eyes just before you die. That is true, it's called Life.”",6432,"['death', 'humor', 'life']"
84,Edgar Allan Poe,“I have great faith in fools - self-confidence my friends will call it.”,6312,"['faith', 'fool', 'humor', 'self-confidence', 'self-irony']"
85,Cassandra Clare,"“That does it,"" said Jace. ""I'm going to get you a dictionary for Christmas this year.""",6291,"['dictionary', 'fun', 'humor', 'isabelle-lightwood', 'jace-wayland']"
86,Anthony G. Oettinger,“Time flies like an arrow; fruit flies like a banana.”,6157,"['humor', 'misattributed-to-groucho-marx', 'time']"
87,Terry Pratchett,“Stories of imagination tend to upset those without one.”,6153,"['fantasy', 'humor', 'imagination', 'literature', 'stories']"
88,Oscar Wilde,"“I think God, in creating man, somewhat overestimated his ability.”",6150,"['creation', 'god', 'humor', 'man']"
89,J.K. Rowling,“Percy wouldn't notice a joke if it danced naked in front of him wearing one of Dobby's hats.”,6141,['humor']
90,Rick Riordan,“Deadlines just aren't real to me until I'm staring one in the face.”,6023,"['deadlines', 'humor', 'procrastinate']"
91,Oscar Wilde,“I never travel without my diary. One should always have something sensational to read in the train.”,6015,"['drama', 'humor', 'plays']"
92,Winston S. Churchill,“My tastes are simple: I am easily satisfied with the best.”,5879,"['humor', 'taste']"
93,J.K. Rowling,"“You haven't got a letter on yours,"" George observed. ""I suppose she thinks you don't forget your name. But we're not stupid-we know we're called Gred and Forge.”",5747,['humor']
94,Douglas Adams,"“The fact that we live at the bottom of a deep gravity well, on the surface of a gas covered planet going around a nuclear fireball 90 million miles away and think this to be normal is obviously some indication of how skewed our perspective tends to be.”",5714,"['humor', 'perspective', 'science']"
95,Rick Riordan,"“Love conquers all,"" Aphrodite promised. ""Look at Helen and Paris. Did they let anything come between them?""",5639,"['humor', 'true-love']"
96,George Burns,"“Happiness is having a large, loving, caring, close-knit family in another city.”",5564,"['family', 'happiness', 'humor']"
97,Veronica Roth,"“I have something I need to tell you,"" he says. I run my fingers along the tendons in his hands and look back at him. ""I might be in love with you."" He smiles a little. ""I'm waiting until I'm sure to tell you, though.""",5475,"['beatrice', 'divergent', 'humor', 'love', 'tobias']"
98,Charles Dickens,“There is nothing in the world so irresistibly contagious as laughter and good humor.”,5408,"['humor', 'laughter']"
99,J.K. Rowling,"“Don't talk to me.""",5351,"['ferret-malfoy', 'harry-potter', 'humor', 'ron-weasley']"
100,Cassandra Clare,"“You guessed? You must have been pretty sure, considering you could have killed me.""",5222,"['humor', 'paranormal-romance']"
101,A.A. Milne,"“People say nothing is impossible, but I do nothing every day.”",5146,"['humor', 'idleness', 'inspirational']"
102,J.K. Rowling,"“Why are they all staring?"" demanded Albus as he and Rose craned around to look at the other students.",5134,"['albus-potter', 'fame', 'harry-potter', 'humor', 'ron-weasley']"
103,Lewis Carroll,"“Begin at the beginning,"" the King said, very gravely, ""and go on till you come to the end: then stop.”",5099,['humor']
104,John Green,“Some people have lives; some people have music.”,5085,"['humor', 'life', 'music']"
105,Stephanie Klein,"“Tell the truth, or someone will tell it for you.”",5053,"['humor', 'life', 'memoir', 'truth']"
106,Richelle Mead,"“I’d said it before and meant it: Alive or undead, the love of my life was a badass.”",5008,"['dimitri', 'humor', 'paranormal-romance', 'rose', 'urban-fantasy', 'vampire', 'young-adult-novels']"
107,Dr. Seuss,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",5007,"['humor', 'philosophy']"
108,Lemony Snicket,“I suppose I'll have to add the force of gravity to my list of enemies.”,5004,['humor']
109,Nicholas Sparks,“Mom says it's because she has PMS.,4994,['humor']
110,Richelle Mead,“Only a true best friend can protect you from your immortal enemies.”,4985,"['friendship', 'humor', 'romance']"
111,Terry Pratchett,"“If cats looked like frogs we'd realize what nasty, cruel little bastards they are. Style. That's what people remember.”",4971,"['cats', 'humor', 'life']"
112,Cassandra Clare,"“Investigation?"" Isabelle laughed. ""Now we're detectives? Maybe we should all have code names.""",4900,"['humor', 'investigation', 'isabelle-lightwood', 'jace-wayland', 'joke']"
113,Douglas Adams,"“The Guide says there is an art to flying"", said Ford, ""or rather a knack. The knack lies in learning how to throw yourself at the ground and miss.”",4898,"['flight', 'flying', 'hg2g', 'humor']"
114,Cassandra Clare,"“What's this?"" he demanded, looking from Clary to his companions, as if they might know what she was doing there.",4858,"['humor', 'jace', 'love', 'mortal-instruments']"
115,Lemony Snicket,"“If writers wrote as carelessly as some people talk, then adhasdh asdglaseuyt[bn[ pasdlgkhasdfasdf.”",4726,"['humor', 'talking', 'writers']"
116,J.K. Rowling,"“How do you feel, Georgie?"" whispered Mrs. Weasley.",4642,"['harry-potter', 'humor']"
117,Steven Wright,“Right now I’m having amnesia and déjà vu at the same time. I think I’ve forgotten this before.”,4641,"['amnesia', 'humor', 'memory']"
118,Mark Twain,"“What would men be without women? Scarce, sir...mighty scarce.”",4619,"['humor', 'men', 'women']"
119,James Patterson,"“Basically, I have two speeds.... Hostile or smart-aleck. Your choice.”",4560,['humor']
120,Douglas Adams,“Don't Panic.”,4554,"['h2g2', 'hitchhiker-s-guide', 'humor', 'panic']"
121,Cassandra Clare,"“Just because you call an electric eel a rubber duck doesn't make it a rubber duck, does it? And God help the poor bastard who decides they want to take a bath with the duckie. (Jace Wayland)”",4500,"['city-of-bones', 'humor', 'jace-wayland']"
122,J.K. Rowling,"“Now, you two – this year, you behave yourselves. If I get one more owl telling me you've – you've blown up a toilet or –""",4488,"['fred-weasley', 'george-weasley', 'humor', 'molly-weasley', 'toilet']"
123,Winston S. Churchill,“History will be kind to me for I intend to write it.”,4448,"['history', 'humor', 'writing']"
124,Cassandra Clare,"“Mom. I have something to tell you. I’m undead. Now, I know you may have some preconceived notions about the undead. I know you may not be comfortable with the idea of me being undead. But I’m here to tell you that undead are just like you and me … well, okay. Possibly more like me than you.”",4445,"['city-of-ashes', 'humor', 'mortal-instruments', 'simon', 'vampire']"
125,J.K. Rowling,"“Holey? You have the the whole world of ear-related humor before you, you go for holey?”",4420,['humor']
126,Cassandra Clare,"“Out of the corner of her eye she thought she saw Jace shoot her a look of white rage - but when she glanced at him, he looked as he always did: easy, confident, slightly bored.",4385,"['awkward', 'humor']"
127,J.R.R. Tolkien,"“Do you wish me a good morning, or mean that it is a good morning whether I want it or not; or that you feel good this morning; or that it is a morning to be good on?”",4247,"['humor', 'semantics', 'suspicion']"
128,Miguel de Cervantes Saavedra,"“Finally, from so little sleeping and so much reading, his brain dried up and he went completely out of his mind.”",4238,"['books', 'humor', 'reading']"
129,Dr. Seuss,"“So be sure when you step, Step with care and great tact. And remember that life's A Great Balancing Act. And will you succeed? Yes! You will, indeed! (98 and ¾ percent guaranteed) Kid, you'll move mountains.”",4178,"['humor', 'inspirational', 'success']"
130,Tina Fey,“Do your thing and don't care if they like it.”,4168,"['bossypants', 'humor', 'self-love', 'tina-fey']"
131,George Carlin,“Fighting for peace is like screwing for virginity.”,4137,"['fighting', 'humor', 'misattributed-george-carlin', 'peace', 'sex']"
132,Arthur Conan Doyle,“It is a great thing to start life with a small number of really good books which are your very own.”,4132,"['books', 'humor']"
133,Cassandra Clare,"“Isabelle drifted over, Jace a pace behind her. She was wearing a long black dress with boots and an even longer cutaway coat of soft green velvet, the color of moss. ""I can't believe you did it!"" she exclaimed. ""How did you get Magnus to let Jace leave?""",4086,"['alec-lightwood', 'clary-fray', 'humor', 'isabelle-lightwood', 'jace-wayland', 'simon-lewis']"
134,Mark Twain,"“When I was a boy of 14, my father was so ignorant I could hardly stand to have the old man around. But when I got to be 21, I was astonished at how much the old man had learned in seven years.”",4064,"['arrogance', 'humor', 'ignorance']"
135,Terry Pratchett,“Time is a drug. Too much of it kills you.”,4054,"['humor', 'science']"
136,J.K. Rowling,"“Oh well... I'd just been thinking, if you had died, you'd have been welcome to share my toilet.”",4042,"['flirting', 'humor']"
137,Becca Fitzpatrick,“Say 'provoking' again. Your mouth looks provocative when you do.”,3972,"['fallen-anger', 'humor', 'nephlim', 'romance']"
138,J.K. Rowling,"“Yeah, Quirrell was a great teacher. There was just that minor drawback of him having Lord Voldemort sticking out of the back of his head!”",3935,['humor']
139,Scott Adams,“I love you like a fat kid loves cake!”,3935,"['food', 'humor', 'love']"
140,Rick Riordan,"“Don't feel bad, I'm usually about to die.”",3914,"['death', 'greek', 'humor', 'mythology', 'percy-jackson', 'sorry']"
141,Arthur C. Clarke,“I'm sure the universe is full of intelligent life. It's just been too intelligent to come here.”,3910,"['extraterrestrials', 'humor', 'intelligent-life', 'life', 'science', 'universe']"
142,J.R. Ward,"“Welcome to the wonderful world of jealousy, he thought. For the price of admission, you get a splitting headache, a nearly irresistable urge to commit murder, and an inferiority complex. Yippee.”",3909,"['humor', 'jealousy', 'love']"
143,Mo Willems,"“If you ever find yourself in the wrong story, leave.”",3897,"['fairy-tales', 'humor', 'humorous', 'philosophy', 'psychology']"
144,Suzanne Collins,"“You here to finish me off, Sweetheart?”",3887,"['humor', 'hunger-games', 'katniss', 'mellark', 'peeta', 'romance']"
145,Cassandra Clare,"“The meek may inherit the earth, but at the moment it belongs to the conceited. Like me.”",3839,"['city-of-bones', 'humor', 'jace-wayland', 'quotes']"
146,George Carlin,"“Have you ever noticed that anybody driving slower than you is an idiot, and anyone going faster than you is a maniac?”",3827,['humor']
147,Douglas Adams,“Time is an illusion. Lunchtime doubly so.”,3787,"['humor', 'philosophy', 'science-fiction']"
148,Voltaire,“It is forbidden to kill; therefore all murderers are punished unless they kill in large numbers and to the sound of trumpets.”,3763,"['double-standards', 'ethics', 'governments', 'humor', 'irony', 'killing', 'law', 'mankind', 'morality', 'murder', 'nationalism', 'nations', 'war']"
149,J.K. Rowling,"“Why were you lurking under our window?""",3757,"['dursley', 'harry-potter', 'humor', 'news', 'sarcasm']"
150,Tina Fey,"“Some people say, “Never let them see you cry.” I say, if you’re so mad you could just cry, then cry. It terrifies everyone.”",3731,['humor']
151,Rick Riordan,"“The real story of the Fleece: there were these two children of Zeus, Cadmus and Europa, okay? They were about to get offered up as human sacrifices, when they prayed to Zeus to save them. So Zeus sent this magical flying ram with golden wool, which picked them up in Greece and carried them all the way to Colchis in Asia Minor. Well, actually it carried Cadmus. Europa fell off and died along the way, but that's not important.""",3694,"['annabeth-chase', 'gold', 'humor', 'percy-jackson']"
152,Kristin Cashore,"“I'm not going to wear a red dress,"" she said.",3683,['humor']
153,Bill Watterson,"“Sometimes when I'm talking, my words can't keep up with my thoughts. I wonder why we think faster than we speak. Probably so we can think twice.”",3628,"['calvin-and-hobbes', 'humor']"
154,Groucho Marx,"“From the moment I picked up your book until I put it down, I was convulsed with laughter. Some day I intend reading it.”",3612,"['books', 'humor', 'reading']"
155,J.K. Rowling,"“Of all the trees we could've hit, we had to get one that hits back.”",3605,"['humor', 'trees']"
156,Madonna,"“I'm tough, I'm ambitious, and I know exactly what I want. If that makes me a bitch, okay.”",3602,"['feminism', 'humor', 'women']"
157,Jay McInerney,“The capacity for friendship is God's way of apologizing for our families.”,3594,"['family', 'friendship', 'humor']"
158,Will Rogers,"“Even if you are on the right track, you’ll get run over if you just sit there.”",3578,"['enterprise', 'humor', 'inertia', 'inspirational']"
159,Tamora Pierce,"“Every now and then I like to do as I'm told, just to confuse people.”",3545,"['humor', 'obedience']"
160,J.K. Rowling,"“He was my mum and dad's best friend. He's a convicted murderer, but he's broken out of wizard prison and he's on the run. He likes to keep in touch with me, though...keep up with my news...check if I'm happy...”",3529,['humor']
161,Dorothy Parker,"“Beauty is only skin deep, but ugly goes clean to the bone.”",3521,"['beauty', 'classic-insult', 'humor', 'ugly']"
162,Douglas Adams,“Would it save you a lot of time if I just gave up and went mad now?”,3521,"['british', 'humor', 'science-fiction', 'social-commentary', 'thumb', 'towel']"
163,Cassandra Clare,"“What are all these?"" Clary asked.",3485,"['clary-fray', 'humor', 'irony', 'jace-wayland', 'jesus']"
164,Dr. Seuss,“Today was good. Today was fun. Tomorrow is another one.”,3477,"['humor', 'rythmic', 'thoughtful']"
165,Suzanne Collins,"“Yes, frosting. The final defense of the dying.”",3465,['humor']
166,Bette Midler,“The worst part of success is trying to find someone who is happy for you.”,3462,"['friendship', 'happiness', 'humor', 'inspirational', 'jealousy', 'success']"
167,George Carlin,“May the forces of evil become confused on the way to your house.”,3461,"['benediction', 'evil', 'goodwill', 'humor', 'inspirational', 'wishes']"
168,Becca Fitzpatrick,"“You possess other people's...bodies.""",3450,"['humor', 'nora', 'patch']"
169,Cassandra Clare,"“So when the moon's only partly full, you only feel a little wolfy?""",3401,['humor']
170,Neil Gaiman,“Most books on witchcraft will tell you that witches work naked. This is because most books on witchcraft were written by men.”,3391,"['humor', 'men', 'witchcraft', 'witches', 'women']"
171,Rick Riordan,"“In a way, it's nice to know that there are Greek gods out there, because you have somebody to blame when things go wrong. For instance, when you're walking away from a bus that's just been attacked by monster hags and blown up by lightning, and it's raining on top of everything else, most people might think that's just really bad luck; when you're a half-blood, you understand that some devine force is really trying to mess up your day.”",3387,"['books', 'humor', 'olympians']"
172,Terry Pratchett,“Wisdom comes from experience. Experience is often a result of lack of wisdom.”,3380,"['humor', 'life']"
173,Jeaniene Frost,"“I'm saying that I'm a moody, insecure, narrow-minded, jealous, borderline homicidal bitch, and I want you to promise me that you're okay with that, because it's who I am, and you're what I need.”",3351,"['humor', 'love']"
174,Cassandra Clare,"“Your friend's poetry is terrible,"" he said.",3348,['humor']
175,Cassandra Clare,"“I'll just have them change the entry in the demonology textbook from 'almost extinct' to 'not extinct enough for Alec. He prefers his monsters really, really extinct.' Will that make you happy?”",3338,['humor']
176,Terry Pratchett,"“In the beginning there was nothing, which exploded.”",3322,"['humor', 'metaphysics', 'physics', 'science']"
177,Oscar Wilde,"“There is only one thing in the world worse than being talked about, and that is not being talked about.”",3311,['humor']
178,Cassandra Clare,"“Must you go? I was rather hoping you'd stay and be a ministering angel, but if you must go, you must.""",3296,"['friends', 'humor', 'radiance']"
179,Jennifer L. Armentrout,“Beautiful face. Beautiful body. Horrible attitude. It was the holy trinity of hot boys.”,3262,"['boys', 'hot', 'humor']"
180,George Carlin,“Never underestimate the power of stupid people in large groups.”,3268,"['attributed-no-source', 'human-nature', 'humor', 'misattributed-george-carlin', 'stupidity']"
181,Eoin Colfer,"“Confidence is ignorance. If you're feeling cocky, it's because there's something you don't know.”",3264,"['confidence', 'humor', 'ignorance', 'knowledge']"
182,Charles M. Schulz,“What's the good of living if you don't try a few things?”,3256,"['cartoonist', 'humor', 'inspirational']"
183,Rick Riordan,"“Dreams like a podcast,",3229,"['apollo', 'fred', 'haiku', 'humor', 'percy-jackson', 'poem']"
184,Dorothy Parker,"“If you want to know what God thinks of money, just look at the people he gave it to.”",3213,"['god', 'humor', 'money']"
185,Terry Pratchett,"“DON'T THINK OF IT AS DYING, said Death. JUST THINK OF IT AS LEAVING EARLY TO AVOID THE RUSH.”",3199,"['death', 'humor']"
186,Dr. Seuss,"“From there to here, from here to there, funny things are everywhere!”",3191,['humor']
187,Christopher Paolini,"“Because you can't argue with all the fools in the world. It's easier to let them have their way, then trick them when they're not paying attention.”",3179,"['common-sense', 'humor', 'smart']"
188,Cassandra Clare,"“I thought I'd lie on the floor and writhe in pain for a while,"" he grunted, ""It relaxes me.""",3166,"['funny', 'humor']"
189,Cassandra Clare,"“It's not gray,"" Clary felt compelled to point out. ""It's green.""",3145,"['clary', 'gray-book', 'humor', 'jace']"
190,Cassandra Clare,"“I don't want tea,"" said Clary, with muffled force. ""I want to find my mother. And then I want to find out who took her in the first place, and I want to kill them.""",3142,"['clary-fray', 'hodge', 'humor', 'revenge', 'sarcasm', 'tea']"
191,Lemony Snicket,"“Love can change a person the way a parent can change a baby- awkwardly, and often with a great deal of mess.”",3110,"['babies', 'change', 'humor', 'love', 'parents']"
192,Mae West,“I wrote the story myself. It's about a girl who lost her reputation and never missed it.”,3108,['humor']
