,Author,Quotes,Likes,Tags
112,Friedrich Nietzsche,"“Doubt as sin. — Christianity has done its utmost to close the circle and declared even doubt to be sin. One is supposed to be cast into belief without reason, by a miracle, and from then on to swim in it as in the brightest and least ambiguous of elements: even a glance towards land, even the thought that one perhaps exists for something else as well as swimming, even the slightest impulse of our amphibious nature — is sin! And notice that all this means that the foundation of belief and all reflection on its origin is likewise excluded as sinful. What is wanted are blindness and intoxication and an eternal song over the waves in which reason has drowned.”",985,"['atheism', 'belief', 'blind', 'blind-faith', 'blindness', 'christian-faith', 'christian-miracle', 'critical-thinking', 'critical-thought', 'death-of-reason', 'doubt', 'doubt-is-sin', 'eternity', 'existence', 'foundation-of-belief', 'human-nature', 'intoxication', 'meaning', 'meaning-of-life', 'metaphor', 'miracle', 'myth', 'nature', 'origin', 'philosophy', 'purpose', 'purpose-of-life', 'reason', 'reflection', 'religious-faith', 'resurrection', 'resurrection-of-jesus', 'sin', 'sinful', 'thinking', 'thoughts', 'wasted-life']"
113,henry david thoreau,“Things do not change; we change.”,960,"['common-sense', 'inspirational', 'philosophy']"
114,Marcus Aurelius,“The best revenge is not to be like your enemy.”,955,"['philosophy', 'revenge']"
115,Seneca,"“Non est ad astra mollis e terris via"" - ""There is no easy way from the earth to the stars”",954,"['latin', 'philosophy', 'stars']"
116,Robertson Davies,“The eye sees only what the mind is prepared to comprehend.”,940,"['belief', 'bias', 'knowledge', 'perception', 'philosophy', 'reality']"
117,Lauren Oliver,"“I shiver, thinking how easy it is to be totally wrong about people-to see one tiny part of them and confuse it for the whole, to see the cause and think it's the effect or vice versa”",940,"['people', 'philosophy']"
118,Robert Anton Wilson,“belief is the death of intelligence.”,937,"['atheism', 'belief', 'faith', 'intelligence', 'metaphysics', 'philosophy', 'religion']"
119,Hans Urs von Balthasar,"“What you are is God's gift to you, what you become is your gift to God.”",915,"['catholicism', 'christian-living', 'christianity', 'gift', 'god', 'inspirational', 'philosophy', 'spirituality']"
120,Albert Einstein,“The most incomprehensible thing about the world is that it is at all comprehensible.”,961,"['einstein', 'philosophy', 'science']"
121,Michel Foucault,“People know what they do; frequently they know why they do what they do; but what they don't know is what what they do does.”,935,"['philosophy', 'wisdom']"
122,Niccolò Machiavelli,“The first method for estimating the intelligence of a ruler is to look at the men he has around him.”,933,['philosophy']
123,Albert Camus,"“Man is always prey to his truths. Once he has admitted them, he cannot free himself from them.”",917,"['philosophy', 'truth']"
124,Jostein Gaarder,“Wisest is she who knows she does not know.”,901,"['philosophy', 'self-knowledge']"
125,Dan Millman,“The journey is what brings us happiness not the destination.”,876,"['philosophy', 'wisdom']"
126,Arthur Schopenhauer,“Happiness consists in frequent repetition of pleasure”,864,"['happiness', 'philosophy']"
127,Alan Watts,“You are an aperture through which the universe is looking at and exploring itself.”,864,"['buddhism', 'metaphysical', 'philosophy']"
128,Malcom X,"“You show me a capitalist, and I'll show you a bloodsucker”",860,"['communism', 'democracy', 'freedom', 'history', 'hope', 'individualism', 'philosophy', 'politics', 'revolution', 'socialism']"
129,Albert Camus,“Some people talk in their sleep. Lecturers talk while other people sleep”,860,"['albert-camus', 'lecture', 'philosophy', 'sleep']"
130,Douglas Coupland,"“I don't deserve a soul, yet I still have one. I know because it hurts.”",834,"['humour', 'philosophy', 'religion', 'soul']"
131,Fulton J. Sheen,"“It takes three to make love, not two: you, your spouse, and God. Without God people only succeed in bringing out the worst in one another. Lovers who have nothing else to do but love each other soon find there is nothing else. Without a central loyalty life is unfinished.”",817,"['catholicism', 'christianity', 'church', 'expectations', 'god', 'happiness', 'lovers', 'marriage', 'philosophy', 'relationship-with-god', 'relationships', 'religion', 'spirituality', 'unhappy-marriage']"
132,Garth Stein,"“He died that day because his body had served its purpose. His soul had done what it came to do, learned what it came to learn, and then was free to leave.”",814,"['death', 'life', 'philosophy']"
133,Ray Bradbury,"“If you don't want a man unhappy politically, don't give him two sides to a question to worry him; give him one. Better yet, give him none. Let him forget there is such a thing as war. If the government is inefficient, top-heavy, and tax-mad, better it be all those than that people worry over it. Peace, Montag. Give the people contests they win by remembering the words to more popular songs or the names of state capitals or how much corn Iowa grew last year. Cram them full of noncombustible data, chock them so damned full of 'facts' they feel stuffed, but absolutely 'brilliant' with information. Then they'll feel they're thinking, they'll get a",813,"['backwards', 'brilliance', 'change', 'contests', 'data', 'facts', 'forget', 'government', 'happiness', 'ignorance', 'information', 'motion', 'peace', 'philosophy', 'politics', 'popular', 'questioning', 'taxation', 'thinking', 'war', 'worry']"
134,Aristotle,"“The aim of art is to represent not the outward appearance of things, but their inward significance.”",807,"['art', 'philosophy']"
135,Woody Allen,“If it turns out that there is a God...the worst that you can say about him is that basically he's an underachiever.”,805,"['atheism', 'metaphysics', 'philosophy']"
136,Johann Wolfgang von Goethe,"“Know thyself? If I knew myself, I'd run away.”",797,['philosophy']
137,Stephen Hawking,"“Even if there is only one possible unified theory, it is just a set of rules and equations. What is it that breathes fire into the equations and makes a universe for them to describe? The usual approach of science of constructing a mathematical model cannot answer the questions of why there should be a universe for the model to describe. Why does the universe go to all the bother of existing?”",787,"['philosophy', 'science', 'search-for-meaning']"
138,Orhan Pamuk,“I don't want to be a tree; I want to be its meaning.”,782,['philosophy']
139,Paulo Coelho,"“No one should ever ask themselves that: why am I unhappy? The question carries within it the virus that will destroy everything. If we ask that question, it means we want to find out what makes us happy. If what makes us happy is different from what we have now, then we must either change once and for all or stay as we are, feeling even more unhappy.”",779,"['happiness', 'life', 'people', 'philosophy', 'unhappiness']"
140,Yann Martel,"“To lose a brother is to lose someone with whom you can share the experience of growing old, who is supposed to bring you a sister-in-law and nieces and nephews, creatures who people the tree of your life and give it new branches. To lose your father is to lose the one whose guidance and help you seek, who supports you like a tree trunk supports its branches. To lose your mother, well, that is like losing the sun above you. It is like losing--I'm sorry, I would rather not go on.”",776,"['death', 'family', 'philosophy']"
141,Khalil Gibran,"“Your pain is the breaking of the shell that encloses your understanding... And could you keep your heart in wonder at the daily miracles of your life, your pain would not seem less wondrous than your joy”",773,['philosophy']
142,Vladimir Lenin,“Freedom in capitalist society always remains about the same as it was in ancient Greek republics: Freedom for slave owners.”,772,"['communism', 'democracy', 'freedom', 'history', 'hope', 'individualism', 'philosophy', 'politics', 'revolution', 'socialism']"
143,Albert Camus,"“It was as if that great rush of anger had washed me clean, emptied me of hope, and, gazing up at the dark sky spangled with its signs and stars, for the first time, the first, I laid my heart open to the benign indifference of the universe.",764,['philosophy']
144,George Orwell,"“On the whole human beings want to be good, but not too good, and not quite all the time.”",763,"['goodness', 'human-nature', 'humour', 'philosophy']"
145,Noam Chomsky,“I was never aware of any other option but to question everything.”,743,['philosophy']
146,Kurt Vonnegut,"“Take it moment by moment, and you will find that we are all, as I’ve said before, bugs in amber.”",731,"['existentialism', 'life', 'philosophy', 'wisdom']"
147,Ayn Rand,"“Devotion to the truth is the hallmark of morality; there is no greater, nobler, more heroic form of devotion than the act of a man who assumes the responsibility of thinking.”",718,"['galt', 'objectivism', 'philosophy', 'taggart']"
148,Alexandre Dumas,“Learning does not make one learned: there are those who have knowledge and those who have understanding. The first requires memory and the second philosophy.”,718,"['knowledge', 'philosophy']"
149,Dan Millman,“There are no ordinary moments.”,708,"['philosophy', 'wisdom']"
150,Babe Ruth,“Every strike brings me closer to the next home run.”,827,"['baseball', 'perseverance', 'philosophy', 'sports']"
